전철역코드,전철역명,X좌표,Y좌표
2740,숭실대입구,1880,2675
2741,상도,1820,2675
2742,장승배기,1760,2675
2743,신대방삼거리,1690,2675
2744,보라매,1610,2675
2745,신풍,1530,2675
2747,남구로,1330,2675
2750,광명사거리,1100,2670
2751,천왕,1055,2620
2725,용마산,3075,1355
2724,사가정,3075,1285
2735,반포,2355,2430
2733,학동,2490,2295
2749,철산,1157,2675
3753,까치울,935,2500
3754,부천종합운동장,885,2440
3755,춘의,825,2385
3756,신중동,765,2330
3757,부천시청,675,2270
3758,상동,593,2270
3759,삼산체육관,522,2270
3760,굴포천,453,2270
3761,부평구청,392,2290
3763,석남,222,2290
3762,산곡,305,2270
2821,복정,3131,2909
4131,삼전,2865,2490
4119,흑석,1950,2275
4107,가양,900,1630
4135,한성백제,3130,2490
4105,마곡나루,825,1470
4137,둔촌오륜,3275,2400
4138,중앙보훈병원,3355,2320
4128,삼성중앙,2640,2490
4114,국회의사당,1450,2275
4116,샛강,1710,2275
4104,신방화,765,1465
4103,공항시장,680,1465
4108,증미,900,1730
4118,노들,1892,2275
4121,구반포,2115,2345
4110,염창,995,1875
4109,등촌,925,1803
4129,봉은사,2710,2490
4101,개화,515,1465
4122,신반포,2170,2400
4112,선유도,1135,2010
4124,사평,2355,2490
4132,석촌고분,2930,2490
4134,송파나루,3065,2490
4126,언주,2500,2490
4106,양천향교,900,1542
4111,신목동,1063,1943
1220,지평,3883,1480
1213,신원,3883,1145
1219,용문,3883,1425
1210,팔당,3750,1080
1012,응봉,2400,1890
1269,강매,840,1100
1265,가좌,1190,1600
1263,서강대,1430,1840
1267,수색,920,1330
1205,구리,3419,1080
1218,원덕,3883,1385
1010,한남,2220,2070
1212,양수,3883,1095
1216,오빈,3883,1295
1215,아신,3883,1245
1214,국수,3883,1195
1211,운길산,3820,1080
1208,덕소,3619,1080
1207,양정,3553,1080
1206,도농,3484,1080
